distrito,barrio,precio
Eixample,El fort pienc,5.254
Eixample,Antiga esquerra de l'eixample,6.288
Eixample,La dreta de l'eixample,7.993
Eixample,Nova esquerra de l'eixample,5.196
Eixample,Sagrada familia,5.412
Eixample,Sant Antoni,5.169
Ciutat Vella,El gotic,5.488
Ciutat Vella,El Raval,4.188
Ciutat Vella,La Barceloneta,5.880
Ciutat Vella,Sant Pere Caterina i la ribera,5.220
Gràcia,El camp d'en grassot i gracia nova,5.481
Gràcia,El coll,3.247
Gràcia,La salut,4.747
Gràcia,Vallcarca i els penitents,4.492
Gràcia,Vila de gracia,5.481
Horta Guinardó,Can baró,3.949
Horta Guinardó,Baix guinardo,4.535
Horta Guinardó,El carmel,2.930
Horta Guinardó,El guinardo,4.237
Horta Guinardó,Horta,4.129
Horta Guinardó,La font d'en fargues,4.484
Horta Guinardó,La teixonera,2.841
Horta Guinardó,la vall d'Hebron - La clota,5.670
Horta Guinardó,Sant Genis dels agudells,2.998
Les corts,La maternitat i sant ramon,4.874
Les corts,Les corts,5.747
Les corts,Pedralbes,7.252
Nou barris,Can Peguera - El turo de la peira,2.573
Nou barris,Canyelles,2.495
Nou barris,Ciutat meridiana - Torre Baró - Vallbona,1.565
Nou barris,La guineueta,3.310
Nou barris,La prosperitat,2.882
Nou barris,La trinitat nova,2.344
Nou barris,Les roquetes,2.062
Nou barris,Porta,3.401
Nou barris,Verdun,2.500
Nou barris,Vilapicina i la torre llobeta,3.876
Sant Andreu,Baró de viver,2.187
Sant Andreu,El bon pastor,2.440
Sant Andreu,El congres i els indians,3.708
Sant Andreu,La sagrera,3.693
Sant Andreu,La trinitat vella,1.946
Sant Andreu,Navas,4.041
Sant Andreu,Sant Andreu,4.147
Sant Martí,Diagonal mar i el front maritim del poblenou,9.163
Sant Martí,El besos,2.979
Sant Martí,El camp de l'arpa del clot,4.395
Sant Martí,El clot,4.273
Sant Martí,El parc i la llacuna del poblenou,5.588
Sant Martí,El poblenou,5.563
Sant Martí,La verneda i la pau,2.829
Sant Martí,La vila olimpica del poblenou,6.191
Sant Martí,Provençals del poblenou,4.366
Sant Martí,Sant marti de provençals,3.480
Sants - Montjuïc,El poble sec - Parc de montjuïc,4.324
Sants - Montjuïc,Hostafrancs,4.696
Sants - Montjuïc,La bordeta,3.881
Sants - Montjuïc,La font de guatlla,3.992
Sants - Montjuïc,La marina del port,3.338
Sants - Montjuïc,La marina del prat vermell,3.617
Sants - Montjuïc,Sants,4.266
Sants - Montjuïc,Sants - Badal,4.316
Sants - Montjuïc,Zona franca,5.003
Sarrià - Sant Gervasi,El putxet i el farró,5.003
Sarrià - Sant Gervasi,Les tres torres,6.723
Sarrià - Sant Gervasi,Sant gervasi - Galvany,6.854
Sarrià - Sant Gervasi,Sant Gervasi - La bonanova,5.967
Sarrià - Sant Gervasi,Sarrià,7.263
Sarrià - Sant Gervasi,Vallvidrera - El tibidabo i les planes,4.756